# Ghidra Function Export: gunman.dll
# Total functions: 2638
# Named (non-FUN_): 801
# Auto-named (FUN_): 1837
# Thunks: 2
# External: 0
# Format: address | size | refs | calling_conv | flags | name
#====================================================================================================
10017460 |     76 |    2 | __cdecl      | -          | item_sodacan
10017560 |    144 |    3 | __thiscall   | -          | CanThink
100175f0 |    144 |    3 | __thiscall   | -          | CanTouch
10017680 |     76 |    2 | __cdecl      | -          | spark_shower
10017860 |    130 |    1 | __fastcall   | -          | FUN_10017860
10017a30 |     79 |    2 | __cdecl      | -          | env_explosion
10017a80 |    113 |    1 | __thiscall   | -          | FUN_10017a80
10017e60 |    147 |    3 | __thiscall   | -          | Smoke
10017f00 |    150 |    2 | __cdecl      | -          | FUN_10017f00
10018160 |     83 |    0 | __fastcall   | -          | FUN_10018160
10018ae0 |    792 |    2 | __thiscall   | -          | FUN_10018ae0
10018e00 |     76 |    2 | __cdecl      | -          | func_breakable
10018e60 |     48 |    2 | __thiscall   | -          | FUN_10018e60
10018e90 |     48 |    2 | __thiscall   | -          | FUN_10018e90
10018ec0 |    208 |    2 | __fastcall   | -          | FUN_10018ec0
10018f90 |    109 |    2 | __cdecl      | -          | FUN_10018f90
10019030 |     65 |    2 | __cdecl      | -          | FUN_10019030
10019080 |     84 |    1 | __cdecl      | -          | FUN_10019080
100190e0 |    359 |    2 | __fastcall   | -          | FUN_100190e0
10019270 |    187 |    2 | __fastcall   | -          | FUN_10019270
10019410 |    269 |    3 | __thiscall   | -          | BreakTouch
10019520 |     80 |    2 | __fastcall   | -          | FUN_10019520
10019660 |    612 |    2 | __thiscall   | -          | FUN_10019660
100198d0 |   1417 |    5 | __thiscall   | -          | Die
10019e80 |     12 |    4 | __fastcall   | -          | FUN_10019e80
10019f20 |     76 |    2 | __cdecl      | -          | func_pushable
10019f80 |    270 |    1 | __fastcall   | -          | FUN_10019f80
1001a090 |     54 |    1 | __fastcall   | -          | FUN_1001a090
1001a300 |    134 |    1 | __thiscall   | -          | FUN_1001a300
1001a400 |    471 |    2 | __thiscall   | -          | FUN_1001a400
1001a610 |     48 |    5 | __thiscall   | -          | FUN_1001a610
1001a640 |     48 |    5 | __thiscall   | -          | FUN_1001a640
1001a9b0 |    133 |    5 | __fastcall   | -          | FUN_1001a9b0
1001aa40 |   1798 |    5 | __thiscall   | -          | FUN_1001aa40
1001b1b0 |    185 |    1 | __thiscall   | -          | FUN_1001b1b0
1001b270 |    110 |    4 | __fastcall   | -          | FUN_1001b270
1001b2e0 |    605 |    1 | __fastcall   | -          | FUN_1001b2e0
1001b540 |    230 |    5 | __thiscall   | -          | FUN_1001b540
1001b630 |      7 |    1 | __stdcall    | -          | FUN_1001b630
1001b640 |     71 |    2 | __thiscall   | -          | FUN_1001b640
1001b690 |     99 |    5 | __fastcall   | -          | FUN_1001b690
1001b710 |   2167 |    1 | __fastcall   | -          | FUN_1001b710
1001bf90 |    175 |    1 | __thiscall   | -          | FUN_1001bf90
1001c040 |    598 |    8 | __thiscall   | -          | FUN_1001c040
1001c2a0 |    537 |    3 | __thiscall   | -          | FUN_1001c2a0
1001c4c0 |     85 |    1 | __fastcall   | -          | FUN_1001c4c0
1001c520 |     99 |    2 | __fastcall   | -          | FUN_1001c520
1001c590 |    111 |    2 | __cdecl      | -          | func_tank
1001c810 |    111 |    2 | __cdecl      | -          | func_tanklaser
1001c8e0 |     49 |    1 | __fastcall   | -          | FUN_1001c8e0
1001c920 |    118 |    1 | __thiscall   | -          | FUN_1001c920
1001c9a0 |    230 |    2 | __fastcall   | -          | FUN_1001c9a0
1001ca90 |     47 |    1 | __fastcall   | -          | FUN_1001ca90
1001cc10 |    111 |    2 | __cdecl      | -          | func_tankrocket
1001cc80 |     25 |    1 | __fastcall   | -          | FUN_1001cc80
1001cca0 |    151 |    1 | __thiscall   | -          | FUN_1001cca0
1001cd40 |    111 |    2 | __cdecl      | -          | func_tankmortar
1001cdb0 |    117 |    1 | __thiscall   | -          | FUN_1001cdb0
1001cf00 |     76 |    2 | __cdecl      | -          | func_tankcontrols
1001cff0 |    173 |    1 | __fastcall   | -          | FUN_1001cff0
1001d0a0 |    146 |    1 | __fastcall   | -          | FUN_1001d0a0
1001d140 |    111 |    2 | __cdecl      | -          | func_tanklaserrust
1001d210 |     49 |    1 | __fastcall   | -          | FUN_1001d210
1001d250 |    118 |    1 | __thiscall   | -          | FUN_1001d250
1001d2d0 |    803 |    2 | __fastcall   | -          | FUN_1001d2d0
1001d600 |     80 |    1 | __fastcall   | -          | FUN_1001d600
1001d650 |    199 |    1 | __fastcall   | -          | FUN_1001d650
1001d720 |    238 |    1 | __fastcall   | -          | FUN_1001d720
1001e6e0 |    257 |    2 | __stdcall    | -          | FUN_1001e6e0
1001e7f0 |    104 |    3 | __thiscall   | -          | FUN_1001e7f0
1001e860 |   1580 |    3 | __stdcall    | -          | FUN_1001e860
1001ee90 |    179 |    1 | __stdcall    | -          | FUN_1001ee90
1001ef50 |     79 |    2 | __cdecl      | -          | monster_generic
1001eff0 |    555 |    2 | __fastcall   | -          | FUN_1001eff0
1001f240 |     79 |    2 | __cdecl      | -          | flashlight_beam
1001f2a0 |     79 |    2 | __cdecl      | -          | monster_flashlight
1001f2f0 |     21 |    1 | __fastcall   | -          | FUN_1001f2f0
1001f400 |     44 |    3 | __thiscall   | -          | SetAdditive
1001f430 |     44 |    3 | __thiscall   | -          | SetNormal
1001f5a0 |     79 |    2 | __cdecl      | -          | grenade
1001f5f0 |    103 |    1 | __fastcall   | -          | FUN_1001f5f0
1001f660 |    773 |    4 | __thiscall   | -          | FUN_1001f660
1001f970 |    317 |    7 | __thiscall   | -          | Smoke
1001fab0 |      8 |   23 | __fastcall   | -          | FUN_1001fab0
1001fac0 |     27 |    2 | __thiscall   | -          | DetonateUse
1001fae0 |     62 |    2 | __thiscall   | -          | PreDetonate
1001fb20 |    167 |    8 | __thiscall   | -          | Detonate
1001fbd0 |    578 |    5 | __thiscall   | -          | ExplodeTouch
1001fe20 |    293 |    3 | __thiscall   | -          | DangerSoundThink
1001ff50 |    739 |    5 | __thiscall   | -          | BounceTouch
10020240 |    140 |    2 | __thiscall   | -          | SlideTouch
100202d0 |    205 |   25 | __fastcall   | -          | FUN_100202d0
100203a0 |    334 |    4 | __thiscall   | -          | TumbleThink
100204f0 |    175 |    5 | __fastcall   | -          | FUN_100204f0
100206a0 |    468 |    2 | __cdecl      | -          | FUN_100206a0
10020b40 |    371 |    1 | __cdecl      | -          | FUN_10020b40
10020cc0 |   1409 |    3 | __cdecl      | -          | FUN_10020cc0
10021250 |    634 |    5 | __cdecl      | -          | FUN_10021250
10021530 |     79 |    2 | __cdecl      | -          | func_recharge
10021710 |    144 |    1 | __fastcall   | -          | FUN_10021710
10021a40 |     42 |    3 | __thiscall   | -          | Recharge
10021a70 |    138 |    4 | __thiscall   | -          | Off
10021b00 |     79 |    2 | __cdecl      | -          | monster_cine_scientist
10021b60 |     79 |    2 | __cdecl      | -          | monster_cine_panther
10021bc0 |     79 |    2 | __cdecl      | -          | monster_cine_barney
10021c20 |     79 |    2 | __cdecl      | -          | monster_cine2_scientist
10021c80 |     79 |    2 | __cdecl      | -          | monster_cine2_hvyweapons
10021ce0 |     79 |    2 | __cdecl      | -          | monster_cine2_slave
10021d40 |     79 |    2 | __cdecl      | -          | monster_cine3_scientist
10021da0 |     79 |    2 | __cdecl      | -          | monster_cine3_barney
10021e00 |    253 |    8 | __thiscall   | -          | FUN_10021e00
10021f30 |      8 |    1 | __fastcall   | -          | FUN_10021f30
10021f70 |     95 |    4 | __thiscall   | -          | CineThink
10021fd0 |     76 |    2 | __cdecl      | -          | cine_blood
10022020 |    767 |    3 | __thiscall   | -          | BloodGush
10022320 |     27 |    3 | __thiscall   | -          | BloodStart
10022370 |     48 |    3 | __thiscall   | -          | FUN_10022370
100223a0 |     48 |    3 | __thiscall   | -          | FUN_100223a0
100223d0 |     79 |    2 | __cdecl      | -          | cycler
100224c0 |    114 |    2 | __cdecl      | -          | gunman_cycler
10022540 |      9 |   13 | __fastcall   | -          | FUN_10022540
10022550 |    262 |    1 | __thiscall   | -          | FUN_10022550
100227d0 |     79 |    2 | __cdecl      | -          | cycler_prdroid
100228d0 |    170 |    3 | __thiscall   | -          | FUN_100228d0
10022980 |    206 |    1 | __fastcall   | -          | FUN_10022980
10022b20 |    175 |    3 | __fastcall   | -          | FUN_10022b20
10022bd0 |     76 |    2 | __cdecl      | -          | cycler_sprite
10022d60 |     92 |    1 | __fastcall   | -          | FUN_10022d60
10022e30 |     63 |    2 | __thiscall   | -          | FUN_10022e30
10022e70 |     79 |    2 | __cdecl      | -          | cycler_weapon
10023070 |     72 |    1 | __fastcall   | -          | FUN_10023070
100230c0 |     27 |    1 | __fastcall   | -          | FUN_100230c0
100230e0 |     43 |    1 | __fastcall   | -          | FUN_100230e0
10023220 |     79 |    2 | __cdecl      | -          | cycler_wreckage
10023270 |    170 |    1 | __fastcall   | -          | FUN_10023270
100234c0 |      8 |    1 | __stdcall    | -          | FUN_100234c0
